annee;numAgglomeration;nbEtablissements;nbEcrans;nbFauteuils;nbMultiplexes;nbSeances;nbEntrees;recettes;tauxOccupation;nbEtablissementsAE;nbEcransAE;nbFauteuilsAE;nbSeancesAE;nbEntreesAE;recettesAE;tauxOccupationAE;populationAgglomeration
2020;34501;2;21;3423;2;20536;179699;1247906,33;5,440819331;1;9;1462;8427;85452;541642,8;6,370283342;14541106
2010;41501;2;12;2598;1;19343;471683;3399011,55;11,49710246;1;3;683;3491;61407;358759,4;7,805018792;74463
2011;41501;2;12;2598;1;19443;479176;3379267,35;11,54561675;1;3;683;3670;68686;413620,8;8,307390125;5471
2012;41501;2;12;2598;1;19148;453551;3186394;11,13532701;1;3;683;3596;62389;362676,1;7,668132554;20095
2013;41501;2;12;2598;1;18781;435816;3019465,6;10,90174209;1;3;683;3423;62576;362869,8;8,07718868;14703
2014;41501;2;12;2598;1;18997;472052;3218243,6;11,59834919;1;3;683;3548;66007;379184,5;8,090382046;10706072
2015;41501;2;12;2598;1;19061;452357;3186768,2;11,05505938;1;3;683;3565;60180;343926,4;7,318114218;168098
2016;41501;2;14;2835;1;20875;469288;3296834,2;10,97818016;1;3;683;3823;74888;431193,3;8,678933467;23837
2017;41501;2;14;2835;1;23131;497039;3552879,3;10,81513853;1;3;683;4230;71505;395886,1;7,545889519;3932
2018;41501;2;14;2835;1;23008;465865;3284787,8;10,20232742;1;3;683;4455;68255;376692,9;6,835459264;6874
2019;41501;2;14;2835;1;22438;504214;3595384,7;11,36090488;1;3;683;4319;76386;424654,5;7,858100316;11508
2020;41501;2;14;2831;1;10709;161292;1132200,8;7,589358185;1;3;683;2018;30182;171376,4;6,580416165;11735
2010;33701;19;103;19711;5;160165;4677991;28033901,88;16,26744581;7;20;3800;23056;710519;3447771,9;18,51267831;14541106
2011;33701;19;103;19711;5;170568;4732938;28313820,64;15,53190345;8;21;4149;23273;769353;3758685,55;19,44850735;13921
2012;33701;20;109;20795;5;172434;4618854;27736589,93;15,05908833;9;22;4345;23975;744692;3613663,2;17,98626537;55881
2013;33701;19;108;20315;5;179670;4472846;27096885,35;14,0082803;10;26;5386;30093;890643;4377316,72;15,50152928;106486
2014;33701;19;108;20315;5;179428;4588170;27685030,38;14,33813565;10;26;5386;29947;922307;4529155,54;16,12114521;14541106
2015;33701;19;108;20569;5;180313;4435177;27592472;13,88466757;9;25;5190;30974;901315;4461751,76;15,3977948;55791
2016;33701;20;115;21820;5;182035;4570039;28515163,51;14,04828234;9;25;5190;31550;992575;4980766,03;16,35869055;3576
2017;33701;20;115;21838;5;196767;4707259;29984160,36;13,40717803;9;25;5208;32903;967863;4886244,41;15,27117108;6556
2018;33701;20;115;21860;5;202126;4500112;28736527,9;12,43835635;9;25;5208;33055;967274;4920593,49;15,39722502;1639558
2019;33701;19;115;21726;5;199434;4619510;29916307,01;12,91068364;8;21;4298;26397;767137;3938342,51;16,37841604;6095
2020;33701;19;115;21622;5;98602;1347374;8653093,42;7,644215874;9;25;5339;17078;342658;1776823,57;10,26574984;428909
2010;62503;1;7;944;;10122;218743;1365227,15;15,84452385;1;7;944;10122;218743;1365227,15;15,84452385;428909
2011;62503;1;7;944;;10552;222376;1416888,15;15,83362645;1;7;944;10552;222376;1416888,15;15,83362645;14541106
2012;62503;1;7;944;;10416;204691;1256227,65;14,89974079;1;7;944;10416;204691;1256227,65;14,89974079;5014
2013;62503;1;7;944;;10239;183293;1086145,1;13,6305598;1;7;944;10239;183293;1086145,1;13,6305598;6854
2014;62503;1;7;944;;10416;204230;1191686,65;14,89369926;1;7;944;10416;204230;1191686,65;14,89369926;467133
2015;62503;1;7;944;;10482;226818;1304795,95;16,5213876;1;7;944;10482;226818;1304795,95;16,5213876;943354
2016;62503;1;7;944;;10572;230035;1334129,3;16,36944049;1;7;944;10572;230035;1334129,3;16,36944049;2356
2017;62503;1;7;944;;10902;227860;1356844,4;15,75847608;1;7;944;10902;227860;1356844,4;15,75847608;14541106
2018;62503;1;7;944;;10873;210123;1255973,4;14,63332593;1;7;944;10873;210123;1255973,4;14,63332593;246511
2019;62503;1;7;944;;10767;220944;1314871,25;15,41307751;1;7;944;10767;220944;1314871,25;15,41307751;14541106
2020;62503;1;7;944;;6013;65267;392774,2;8,176578107;1;7;944;6013;65267;392774,2;8,176578107;633690
2010;1501;2;13;2619;1;15233;449661;3156147,5;14,45248859;1;4;681;2644;34149;191502,6;7,61667912;53462
2011;1501;2;13;2619;1;15423;471118;3241223,85;14,78508932;1;4;681;2624;35547;195727,65;7,951566289;53462
2012;1501;2;13;2619;1;16210;465880;3190422,9;14,16769936;1;4;681;3508;38103;216173;6,423600575;11723
2013;1501;2;13;2619;1;15269;437045;3028152,1;13,86188514;1;4;681;2458;24229;139798;5,579492045;943354
2014;1501;2;12;2532;1;15832;483026;3182426,5;14,59177992;1;3;594;3101;36768;208383;5,991513326;184750
2015;1501;2;12;2532;1;15818;475880;3141838,2;14,40483495;1;3;594;3121;31766;179596,7;5,148393538;11158
2016;1501;2;12;2532;1;15765;484076;3210091;14,68303426;1;3;594;3113;40045;225161,6;6,527898227;10706072
2017;1501;2;12;2532;1;16244;477419;3209918,6;14,15440435;1;3;594;3135;37259;211523,7;6,031501926;5965
2018;1501;2;12;2532;1;16583;456994;3050461;13,21091253;1;3;594;3159;36364;208399,8;5,817197558;4666
2019;1501;2;12;2532;1;16337;468851;3151673,5;13,75104632;1;3;594;3167;39369;227361,9;6,297971864;10706072
2020;1501;2;12;2532;1;7651;135791;893900,8;8,390753247;1;3;594;840;10416;58250,3;6,267902275;456042
2010;18501;2;13;2730;1;26387;542813;3445121,39;9,67664935;1;1;110;1171;36485;165741,8;28,32466423;15867
2011;18501;2;13;2730;1;25465;552611;3546914,98;10,25664869;1;1;110;1121;34729;153794,2;28,16397697;6690
2012;18501;2;13;2730;1;26100;515226;3265965;9,388940561;1;1;110;1209;30287;137862,9;22,77389277;12211
2013;18501;2;13;2730;1;25904;474124;3034556,95;8,727815471;1;1;110;1216;33685;164877,4;25,18316388;17065
2014;18501;2;13;2730;1;26156;502215;3250215,15;9,089956387;1;1;110;1258;34800;167295,3;25,1481428;14541106
2015;18501;2;13;2730;1;26082;493321;3330528,6;8,999220879;1;1;110;1296;33270;154293,5;23,33754209;3576
2016;18501;2;13;2730;1;26130;502444;3361526,08;9,139734189;1;1;110;1307;41521;201569,2;28,8801558;10706072
2017;18501;2;13;2730;1;26073;514695;3546112,28;9,389677785;1;1;110;1366;40776;199229,8;27,1369626;14541106
2018;18501;2;13;2730;1;25816;476786;3255999,91;8,804084713;1;1;110;1365;37557;179339,2;25,01298701;33118
2019;18501;2;13;2730;1;25049;512226;3614446,56;9,739573747;1;1;110;1383;42030;209085,3;27,62768685;10706072
2020;18501;2;13;2620;1;13025;152136;1081792,05;5,825111124;1;1;110;872;17338;87064,5;18,07547957;2579
2010;38501;2;12;2252;1;14677;542433;3621013,3;20,3071038;1;3;636;1548;23568;122525;7,149878044;18221
2011;38501;2;12;2252;1;14887;558497;3700194,4;20,49367078;1;3;636;1541;25370;134944,5;7,740278125;197713
2012;38501;2;12;2252;1;14785;538802;3576981,5;20,05044596;1;3;636;1470;20187;103884,5;6,408693499;10706072
2013;38501;1;12;2010;1;15349;531625;3523060,5;20,21602292;;;;;;;;19645
2014;38501;1;12;2010;1;18311;609672;3865766,5;20,05556076;;;;;;;;904359
2015;38501;1;12;2010;1;18610;604567;3902940,45;19,44930936;;;;;;;;7357
2016;38501;1;12;2010;1;19165;523722;3590259,83;16,35453213;;;;;;;;14541106
2017;38501;1;12;2010;1;19986;530834;3692605,91;16,09488705;;;;;;;;10706072
2018;38501;1;12;2010;1;20417;507230;3575284,77;15,04347878;;;;;;;;9571
2019;38501;1;12;2010;1;20324;539333;3839619,88;16,15267099;1;12;2010;20324;539333;3839619,88;16,15267099;4083
2020;38501;1;12;2010;1;10012;143231;1014909,52;8,554480305;1;12;2010;10012;143231;1014909,52;8,554480305;130502
2010;29701;5;31;5701;2;48850;1128626;6652336,96;12,86730428;2;7;902;10532;147800;663977,3;10,76152732;24248
2011;29701;5;32;5751;2;49931;1150598;6762286,83;12,80078305;2;8;952;10659;167848;774288,4;12,14200199;21760
2012;29701;5;32;5751;2;53174;1124785;6778681,4;12,00001579;2;8;952;12265;170373;783789,8;11,67132612;9333
2013;29701;5;32;5751;2;52825;1038793;6141288,36;11,16351882;2;8;952;11932;168320;761579,1;11,97456543;10706072
2014;29701;5;32;5751;2;52222;1125756;6692975,47;12,26196449;2;8;952;12097;180691;808532;12,57540749;14541106
2015;29701;5;32;5751;2;51900;1098062;6767175,5;12,05421941;2;8;952;12256;167824;757307,2;11,48787032;19312
2016;29701;5;32;5751;2;51077;1081159;6750436,54;12,05849103;2;8;952;11985;192024;885929,7;13,47995634;53068
2017;29701;5;32;5751;2;52038;1079274;6719768,54;11,83010279;2;8;952;12490;182600;820147;12,29324161;5571
2018;29701;5;33;5793;2;46441;994586;6256638,97;12,62974047;2;9;994;12687;188464;848421,62;12,68198935;9414
2019;29701;5;33;5793;2;55736;1099672;7056727,87;11,47759568;2;9;994;14087;204011;928046,75;13,23753079;428909
2020;29701;5;33;4958;2;28125;333788;2137881,27;8,32529374;2;9;994;8026;82871;374754,01;9,493528051;3372
2010;554;2;12;2090;1;22449;400496;2539577,75;10,32574772;1;3;586;4869;62887;296179,7;6,68814263;14541106
2011;554;2;12;2090;1;22112;419561;2737033;10,99088243;1;3;586;4928;66314;330863,7;6,949754347;7440
2012;554;2;12;2090;1;22503;389976;2508309,35;10,12171462;1;3;586;5105;61587;293486,1;6,219369954;14541106
2013;554;2;12;2090;1;22454;354269;2273188,3;9,234999828;1;3;586;5264;61852;295895,8;6,101439439;2529
2014;554;2;12;2090;1;22837;398061;2574210,25;10,12230859;1;3;586;5450;67659;328753,3;6,420642776;6043
2015;554;2;12;2090;1;22202;397208;2671245,75;10,47649417;1;3;586;5071;62490;312288,5;6,353147141;14541106
2016;554;2;12;2090;1;21986;385697;2567724,46;10,29496354;1;3;586;4812;62755;323196,3;6,733029558;200971
2017;554;2;12;2091;1;22665;375447;2636998,91;9,667033748;1;3;587;5387;53314;274865,9;5,046375657;79899
2018;554;2;12;2091;1;22622;367235;2563112,47;9,456335695;1;3;587;5389;50881;268406,6;4,831650487;14541106
2019;554;2;12;2091;1;22138;378571;2641703,44;10,07065695;1;3;587;5386;56986;298391,1;5,45801088;4865
2020;554;2;12;2091;1;11654;113771;780846,14;5,676487464;1;3;587;3050;22953;124924,6;3,864128404;128466
2010;14601;5;27;6174;1;46144;1630047;8234736,28;18,05323713;2;7;1486;11098;273402;1009366,6;14,47642991;1039397
2011;14601;5;27;6174;1;47424;1685798;8739699,96;18,04203742;2;7;1486;11153;301659;1120581,4;15,99736753;13376
2012;14601;5;27;6174;1;49120;1619060;8672219,74;16,87135232;2;7;1486;11360;286093;1100316,1;14,93190966;10706072
2013;14601;5;30;6576;2;53261;1524943;8632709,38;15,15421907;2;7;1486;11358;278159;1096462,3;14,58016868;14863
2014;14601;5;30;6576;2;56263;1683760;9744488,7;15,75615871;2;7;1486;11153;265304;1087728,3;14,16622882;14541106
2015;14601;5;30;6576;2;56329;1649083;9809605,41;15,44975882;2;7;1486;11795;252762;1037170,5;12,68353241;6051
2016;14601;5;30;6576;2;55575;1660690;10117003,43;15,76494325;2;7;1486;11867;279338;1217676,8;13,88842346;14541106
2017;14601;5;30;6576;2;56157;1643259;10211229,05;15,48427275;2;7;1486;11855;262712;1175227,33;13,09955657;1039397
2018;14601;5;30;6576;2;55784;1540268;9756392,72;14,58072792;2;7;1486;11543;255810;1126308,3;13,16558081;15917
2019;14601;5;30;6576;2;55511;1584237;10341994,42;15,04554728;2;7;1486;11958;274307;1210797,1;13,52122576;4734
2020;14601;5;30;6576;2;26195;504073;3227261,23;10,14628257;2;7;1486;6064;115356;522231,6;11,21585831;10706072
2010;62504;2;16;2869;1;25029;566065;3632889,61;12,631077;1;4;498;5541;58224;271069,1;8,402010456;91281
2011;62504;2;16;2869;1;25507;634018;3464519,49;13,74029457;1;4;498;5546;54587;263618;7,906747684;168098
2012;62504;2;16;2869;1;26373;576036;3378673,45;12,14187399;1;4;498;5654;54074;254908,4;7,582447939;5463
2013;62504;2;16;2869;1;24766;502212;3251564,99;11,11551314;1;4;498;5054;53401;254945,5;8,039921831;569793
2014;62504;2;16;2869;1;24567;561090;3727428,65;12,52736992;1;4;498;5208;53362;252222,5;7,905352654;7520
2015;62504;2;16;2869;1;26394;548403;3791630,5;11,46785672;1;4;498;5366;50372;245040,9;7,507563902;12599
2016;62504;2;16;2869;1;27102;540883;3741200,55;10,9975111;1;4;498;5382;52005;257944,4;7,753735226;5315
2017;62504;2;16;2869;1;29506;542108;3777849,77;10,08099638;1;4;498;5476;53608;261112,6;7,871294179;7900
2018;62504;2;16;2869;1;29604;553372;3918538,81;10,26479084;1;4;498;5475;51881;259219,5;7,607530548;33873
2019;62504;2;16;2869;1;27748;567593;4050046,4;11,29113627;1;4;498;5216;54187;271409,5;8,346760156;12320
2020;62504;2;16;2869;1;13305;172055;1225910,43;7,186961672;1;4;498;2846;20002;106243,4;5,664443595;14541106
2010;81501;1;5;660;;7383;188110;1088224,1;19,28188286;1;5;660;7383;188110;1088224,1;19,28188286;14541106
2011;81501;1;5;660;;7345;209641;1248344,4;21,64693078;1;5;660;7345;209641;1248344,4;21,64693078;14541106
2012;81501;1;5;660;;7367;197188;1171900,5;20,42000246;1;5;660;7367;197188;1171900,5;20,42000246;94500
2013;81501;1;5;660;;7435;184828;1093907,3;19,04591142;1;5;660;7435;184828;1093907,3;19,04591142;3039
2014;81501;1;5;660;;7471;200522;1175487,8;20,44636502;1;5;660;7471;200522;1175487,8;20,44636502;10346
2015;81501;1;5;660;;7627;195114;1240773,5;19,57825976;1;5;660;7627;195114;1240773,5;19,57825976;10706072
2016;81501;1;5;660;;7540;188702;1228380,3;19,00402635;1;5;660;7540;188702;1228380,3;19,00402635;373130
2017;81501;1;5;660;;7621;183962;1229091,1;18,32533593;1;5;660;7621;183962;1229091,1;18,32533593;373130
2018;81501;1;5;660;;8679;169746;1154528,2;14,86475599;1;5;660;8679;169746;1154528,2;14,86475599;6840
2019;81501;1;5;660;;8473;178491;1200067,95;16,0589307;1;5;660;8473;178491;1200067,95;16,0589307;14541106
2020;81501;1;5;660;;4226;48333;311370,97;8,680246257;1;5;660;4226;48333;311370,97;8,680246257;64508
2010;51501;2;10;1754;1;9424;263248;1850853,7;17,05783899;1;9;1601;8886;252806;1791876,7;17,30418432;373130
2011;51501;2;10;1754;1;10462;285223;1999306,35;16,50028867;1;9;1601;9830;272221;1928918,85;16,68125091;14541106
2012;51501;2;10;1754;1;19588;272160;1781123,65;7,922263085;2;10;1754;19588;272160;1781123,65;7,922263085;14541106
2013;51501;2;10;1754;1;18207;260968;1695675,75;8,153438408;1;1;153;724;19176;80066;17,31123389;633690
2014;51501;2;10;1754;1;18376;290866;1912204,05;9,018443617;1;1;153;746;20597;83993,5;18,04569907;8794
2015;51501;2;10;1754;1;18056;289650;1958498,5;9,147335098;1;1;153;801;21662;86768,75;17,6756179;4633
2016;51501;2;10;1754;1;18219;297205;1971468,59;9,350032655;1;1;153;807;24681;97866,7;19,98930923;25572
2017;51501;2;10;1754;1;18426;306947;2037718,6;9,527299184;1;1;153;875;24171;95405,7;18,05490196;14541106
2018;51501;2;10;1754;1;18510;293271;1939417,03;9,0383708;1;1;153;908;27804;106515,5;20,01382051;4351
2019;51501;2;10;1754;1;18137;293216;1949996,77;9,281851204;1;1;153;994;29913;115602;19,66899436;285659
2020;51501;2;10;1754;1;9388;84877;543329,3;5,134995006;1;1;153;463;12592;51032;17,77551913;152164
2010;71501;4;16;3220;;12222;288662;1895977,9;16,22499675;1;4;586;3674;120630;812533,25;22,25029973;152164
2011;71501;4;16;3220;;12986;285030;1815938,8;15,4242939;1;4;586;3952;107351;667310,8;18,34987684;14541106
2012;71501;4;16;3220;;13391;258612;1680069,8;13,52109318;1;4;586;5000;104849;671570,2;14,55758946;40141
2013;71501;3;11;2496;;12561;237483;1524621,2;13,29519346;1;4;586;5608;113894;705552,6;14,02129527;8619
2014;71501;3;10;1556;;13225;257956;1597142,4;13,67921126;1;4;586;5846;131085;798315,6;15,28331584;14541106
2015;71501;3;11;2632;;13810;243044;1485416,84;11,12274033;1;4;722;6262;110161;644573,8;9,768774081;1639558
2016;71501;3;10;1556;;13203;228676;1327852,95;12,13652288;1;4;586;5859;106535;599592,7;12,42076349;8231
2017;71501;3;10;1692;;13617;220179;1286629,15;10,41610193;1;4;722;5893;101957;564891,83;9,625404414;75605
2018;71501;3;18;3493;1;15278;252171;1540729,01;10,2056914;1;4;722;5720;80742;439962,05;7,924513858;236730
2019;71501;3;18;3493;1;27352;592680;3805308,43;14,98604256;1;4;722;5933;50781;262124;4,785473105;14541106
2020;71501;4;23;4179;1;14109;174133;1089061,58;8,579362291;1;4;722;2324;15803;77449,92;3,708553634;132722
2010;73601;8;28;5136;1;33143;925230;6698307,95;15,12742876;4;12;1969;10339;155389;933892,7;10,02830583;75939
2011;73601;8;28;5136;1;33511;927955;6588768,4;14,42102003;4;12;1969;10115;159410;937848,52;9,426693135;10706072
2012;73601;9;38;6747;2;39890;925162;6708529,6;13,24972811;4;12;1969;12471;163068;1000956,78;8,256561609;200971
2013;73601;8;32;5357;2;43922;920421;6551174,13;12,69561267;4;12;1969;13036;180725;1098089,76;8,728572194;948433
2014;73601;7;31;5201;2;45653;998911;6855316,24;13,17406548;4;12;1969;13553;184856;1129760,59;8,506886282;353042
2015;73601;8;32;5231;2;45711;975246;6633383,82;13,09455604;4;12;1843;13619;170192;1055608,82;8,202253364;353042
2016;73601;8;32;5357;2;47195;1025762;6994001,86;13,13157731;4;12;1969;14606;208834;1269017,4;8,798118992;1585498
2017;73601;8;32;5231;2;47562;994084;6892471,78;12,83478993;4;12;1843;14195;191021;1159664,88;8,754070654;948433
2018;73601;8;32;5231;2;50144;962597;6729260,96;11,74933725;5;13;1984;15848;233533;1336734,1;9,676682863;14541106
2019;73601;8;32;5231;2;48629;988914;7206040,32;12,50037131;5;13;1984;16181;257160;1494045,3;10,46963111;943354
2020;73601;8;32;5234;2;24416;304975;2216302,4;7,581938888;5;13;1987;7699;86704;505782,85;7,392975207;129705
2010;8501;1;10;2008;1;17020;389590;2607639,8;11,51818684;1;10;2008;17020;389590;2607639,8;11,51818684;8838
2011;8501;1;10;2008;1;17531;419422;2945574,7;11,98378702;;;;;;;;3526
2012;8501;1;10;2008;1;17745;399062;2790277,5;11,42468608;1;10;2008;17745;399062;2790277,5;11,42468608;10706072
2013;8501;1;10;2008;1;17414;363539;2524628,05;10,59125492;1;10;2008;17414;363539;2524628,05;10,59125492;4727
2014;8501;1;10;2008;1;17515;407842;2711120;11,80693851;1;10;2008;17515;407842;2711120;11,80693851;8173
2015;8501;1;10;2008;1;17478;403964;2710461,5;11,76178401;1;10;2008;17478;403964;2710461,5;11,76178401;31840
2016;8501;1;10;2008;1;17259;412182;2762457,7;12,15968649;1;10;2008;17259;412182;2762457,7;12,15968649;10706072
2017;8501;1;10;2008;1;17171;422140;2830438,8;12,50943453;1;10;2008;17171;422140;2830438,8;12,50943453;10706072
2018;8501;1;10;2008;1;17381;387085;2606074;11,26863356;1;10;2008;17381;387085;2606074;11,26863356;14541106
2019;8501;1;10;2008;1;17105;393926;2672627,7;11,74631658;1;10;2008;17105;393926;2672627,7;11,74631658;4175
2020;8501;1;10;2008;1;7071;109478;751470,4;7,785578354;1;10;2008;7071;109478;751470,4;7,785578354;15578
2010;28501;1;10;1880;1;13261;420490;3058159,96;17,10322622;1;10;1880;13261;420490;3058159,96;17,10322622;20127
2011;28501;1;10;1880;1;13451;452111;3275665,1;18,0266897;1;10;1880;13451;452111;3275665,1;18,0266897;511598
2012;28501;1;10;1880;1;13770;432506;3154059,9;16,9632215;1;10;1880;13770;432506;3154059,9;16,9632215;5199
2013;28501;1;10;1880;1;13746;421236;2949364,5;16,51121761;1;10;1880;13746;421236;2949364,5;16,51121761;14541106
2014;28501;1;10;1880;1;13026;466843;3131062,9;19,23102748;1;10;1880;13026;466843;3131062,9;19,23102748;7662
2015;28501;1;10;1880;1;13697;460073;3224127,1;18,32995943;1;10;1880;13697;460073;3224127,1;18,32995943;246511
2016;28501;1;10;1880;1;14208;475595;3298128,4;18,1102743;1;10;1880;14208;475595;3298128,4;18,1102743;10706072
2017;28501;1;11;2041;1;14199;483772;3388225,1;18,64782708;1;11;2041;14199;483772;3388225,1;18,64782708;14541106
2018;28501;1;11;2025;1;15940;453945;3144398,7;15,83325079;1;11;2025;15940;453945;3144398,7;15,83325079;10706072
2019;28501;1;11;2025;1;16582;484744;3433041,5;16,30541471;1;11;2025;16582;484744;3433041,5;16,30541471;1639558
2020;28501;1;11;2025;1;7639;137441;970850,9;9,979509625;1;11;2025;7639;137441;970850,9;9,979509625;2680
2010;36501;2;9;1406;1;12619;256339;1482944,24;13,45482298;2;9;1406;12619;256339;1482944,24;13,45482298;3959
2011;36501;2;9;1406;1;12759;289961;1707802,52;15,08253598;2;9;1406;12759;289961;1707802,52;15,08253598;4243
2012;36501;2;9;1406;1;12765;279614;1645778,48;14,57918274;2;9;1406;12765;279614;1645778,48;14,57918274;511598
2013;36501;2;9;1406;1;12769;255698;1499861,16;13,28501437;2;9;1406;12769;255698;1499861,16;13,28501437;112020
2014;36501;2;9;1406;1;12816;285764;1657379,5;14,74780806;2;9;1406;12816;285764;1657379,5;14,74780806;633690
2015;36501;2;9;1406;1;13168;275948;1723329,18;13,958029;2;9;1406;13168;275948;1723329,18;13,958029;456042
2016;36501;2;9;1406;1;13133;276174;1779971,12;13,94614624;2;9;1406;13133;276174;1779971,12;13,94614624;95721
2017;36501;2;9;1406;1;13046;271648;1784016,22;13,60178254;2;9;1406;13046;271648;1784016,22;13,60178254;569793
2018;36501;2;9;1406;1;15713;250597;1625782,44;10,64338911;2;9;1406;15713;250597;1625782,44;10,64338911;948433
2019;36501;2;9;1406;1;15660;263735;1737495,34;11,18287403;1;1;328;1452;34905;139746,7;7,329041524;10706072
2020;36501;2;9;1406;1;8008;75399;481408,79;6,189702956;2;9;1406;8008;75399;481408,79;6,189702956;353042
2010;50501;3;18;3841;1;32027;497968;3054865,3;7,369397159;2;6;1305;8506;79650;406345,3;4,451615716;10706072
2011;50501;3;18;3841;1;31737;521564;3268863,85;7,859131024;2;6;1305;8598;89079;462039,3;4,930882183;22764
2012;50501;3;18;3841;1;32175;488130;3021630,7;7,267503319;2;6;1305;8707;87397;447324,2;4,777904549;10706072
2013;50501;3;18;3841;1;32061;437492;2694456,95;6,529928216;2;6;1305;8672;84066;425493,4;4,632603353;10706072
2014;50501;3;18;3841;1;33169;469575;2952968,9;6,776439478;2;6;1305;8866;78521;389808,4;4,21766347;10706072
2015;50501;3;18;3841;1;33561;467071;3077620,15;6,667066344;2;6;1305;9077;76081;390996,3;4,018586245;10706072
2016;50501;3;18;3841;1;33569;464464;3033299,07;6,636586098;2;6;1305;9139;86487;447705,85;4,527188413;10706072
2017;50501;3;18;3841;1;34069;461457;3095026,49;6,479940854;2;6;1305;9383;86802;453859,3;4,401177339;10706072
2018;50501;3;18;3841;1;33648;431390;2891419,74;6,141081886;2;6;1305;9197;81680;427612,63;4,218175959;10706072
2019;50501;3;18;3841;1;33015;458359;3134144;6,678541663;2;6;1305;9351;88068;455643,97;4,454544857;10706072
2020;50501;3;18;3792;1;16454;144089;991938,87;4,222067834;2;6;1305;4264;33214;177470,35;3,648522916;10706072
2010;49501;2;13;2062;1;19459;362216;2039508;12,041343;1;4;694;4526;59427;256093,8;7,499734978;10706072
2011;49501;2;13;2062;1;15695;400308;2361973,6;16,84108318;;;;;;;;10706072
2012;49501;1;9;1368;1;15837;376785;2301294,5;15,86985025;;;;;;;;10706072
2013;49501;1;9;1368;1;15934;351427;2129073,9;14,66749417;1;9;1368;15934;351427;2129073,9;14,66749417;10706072
2014;49501;1;9;1368;1;15647;392862;2364056,3;16,62510341;1;9;1368;15647;392862;2364056,3;16,62510341;10706072
2015;49501;1;10;1443;1;16939;402293;2386678,49;16,3574833;1;10;1443;16939;402293;2386678,49;16,3574833;81266
2016;49501;1;10;1443;1;17033;389023;2304077,95;15,96450263;1;10;1443;17033;389023;2304077,95;15,96450263;8385
2017;49501;1;10;1443;1;16660;400946;2466183,92;16,80899641;1;10;1443;16660;400946;2466183,92;16,80899641;4631
2018;49501;1;10;1443;1;16572;376258;2266399,22;15,88562425;1;10;1443;16572;376258;2266399,22;15,88562425;1585498
2019;49501;1;10;1443;1;17129;402686;2458586,68;16,63648007;1;10;1443;17129;402686;2458586,68;16,63648007;68462
2020;49501;1;10;1443;1;9648;118531;720187,44;8,587273873;1;10;1443;9648;118531;720187,44;8,587273873;74751
2010;63701;6;33;5410;1;54922;1538363;10100411,05;17,27493477;4;12;1600;17491;291356;1628244,05;12,90966918;41758
2011;63701;6;33;5410;1;55166;1537724;10041886,7;17,01417176;4;12;1600;17090;307207;1717339,4;13,87953543;10706072
2012;63701;6;33;5410;1;55283;1485029;9865929,43;16,57657817;3;7;923;9993;155518;803314,68;12,3050995;6188
2013;63701;7;40;6572;1;57902;1510391;9844542,1;16,13108421;4;12;1600;18295;286935;1621950,2;12,06251395;162637
2014;63701;7;40;6572;1;71070;1596666;10336500,3;13,85888805;4;12;1600;18962;274064;1533605,75;11,28274629;162637
2015;63701;7;40;6565;1;70731;1566911;10274944,55;13,67103851;4;12;1593;18903;244033;1361375,75;10,0803635;17334
2016;63701;7;40;6572;1;66358;1610898;10586652,04;14,98702298;4;12;1600;19071;289505;1627929,25;11,75258217;168098
2017;63701;8;52;8764;2;83923;1630178;10786505,35;11,80933954;4;12;1574;19201;263713;1474385,95;10,88848013;168098
2018;63701;8;52;8764;2;93773;1591731;10421826,09;10,22543901;4;12;1574;18885;250733;1404177,95;10,59873043;178404
2019;63701;8;52;8764;2;91439;1584039;10503731,33;10,51308638;4;12;1574;19199;262510;1470028,36;10,76782099;14541106
2020;63701;8;52;8764;2;45035;456717;3132151,25;6,096476656;4;12;1574;9326;91335;529724,33;7,510410225;3084
2010;74502;3;3;1114;;1025;40031;190581,2;10,73810201;2;2;858;819;34679;150817,7;10,83522362;14541106
2011;74502;3;3;1114;;1055;39908;197350,5;10,36582198;2;2;858;857;34669;158737;10,37037702;10706072
2012;74502;3;3;1114;;1036;37518;187294,5;9,880073946;2;2;858;829;32895;153052,5;10,06757625;86845
2013;74502;3;3;1114;;1153;42676;210577,3;10,19138093;2;2;858;913;37252;170248,8;10,4257975;10706072
2014;74502;3;3;1114;;1214;45198;222316,9;10,31409168;2;2;858;959;38399;176598,9;10,29640475;10706072
2015;74502;3;3;1114;;1160;45340;221061,8;10,77445878;2;2;858;878;37051;165364,3;10,62796528;6285
2016;74502;3;3;1114;;1263;49370;246262,6;10,22898676;2;2;858;1000;40770;186889,6;9,816527015;5539
2017;74502;3;3;1114;;1082;39665;197922,1;9,941999779;2;2;858;794;30438;136329,6;9,358742575;3496
2018;74502;3;3;1114;;914;32668;162800,2;8,476652101;2;2;858;633;24052;104352,7;7,673264168;7719
2019;74502;3;3;1114;;1267;47961;247525,7;9,979899121;1;1;600;451;15535;61617,2;5,740946046;14541106
2020;74502;4;6;1710;;1890;25899;155043,3;5,781194544;2;2;799;375;12164;59040,6;11,10745854;456042
2010;68501;2;18;3710;1;33385;665120;4017502,35;9,735021018;1;6;1252;8374;95016;440232,45;5,524449421;7335
2011;68501;2;18;3710;1;32723;689307;4252949,65;10,35542965;1;6;1252;8457;93102;426205,1;5,316805713;11723
