annee;numDepartement;nbHabitantsDepartement;nbEtablissements;nbEcrans;nbFauteuils;nbMultiplexes;nbSeances;nbEntrees;recettes;tauxOccupation;nbEtablissementsAE;nbEcransAE;nbFauteuilsAE;nbSeancesAE;nbEntreesAE;recettesAE;tauxOccupationAE;populationDepartement
2014;2;538659;15;43;7162;1;51260;966123;5934177,9;11,14107055;7;24;3848;27542;528946;3109220;11,73310299;538659
1998;1;515270;19;35;6432;;24782;786638;4133768,4;17,84621597;;;;;;;;515270
2015;2;538659;15;43;7041;1;51350;977986;6273182,61;11,44121075;7;34;5575;47375;908178;5945972;11,55156898;538659
1999;1;515270;21;39;6890;;23855;657029;3388282,41;15,7641471;;;;;;;;515270
2016;2;538659;15;43;7122;1;52527;1026679;6588537,25;11,7225047;7;34;5656;48245;944236;6193476;11,78271319;538659
2000;1;515270;21;36;6523;;25267;688955;3538847,22;15,69142315;;;;;;;;515270
2017;2;538659;15;43;6774;1;52596;1002796;6518186,34;11,90948188;7;34;5308;48986;951722;6340608;12,50776214;538659
2001;1;515270;21;36;6470;;26567;788686;4130702,23;16,96403548;;;;;;;;515270
2018;2;538659;15;43;6774;1;56309;950480;6055898,81;10,48679734;5;25;3942;40537;661659;4298553;10,20183681;538659
2019;2;538659;15;44;7356;1;55540;971011;6172368,96;10,85642711;3;14;2144;24435;397610;2676929;9,830910612;538659
2020;2;538659;15;43;6774;1;27844;266015;1673291,71;5,920666211;5;23;3506;18786;166048;1085766;5,495861423;538659
2002;3;344721;11;28;3956;;17179;497270;2788412,72;20,52746338;4;12;1562;8743;250626;1401432;21,85231945;344721
2003;3;343309;12;29;4085;;16778;449155;2526720,32;19,42542217;4;12;1519;8653;217560;1220005;19,64575159;343309
2004;3;343309;13;36;5110;;19150;548907;3099808,19;20,8301678;4;12;1519;8685;251652;1430083;22,54118111;343309
2005;3;341613;10;27;3747;;21474;501055;2900232,88;16,82696425;3;10;1324;7677;181159;1037995;18,00971472;341613
2006;3;341613;10;27;3747;;21713;612223;3586284,78;20,08473195;4;11;1455;8584;247318;1437712;22,12853299;341613
2007;3;341613;10;27;3747;;21049;563547;3374102,94;19,06878979;5;18;2467;17430;464358;2823499;19,36316771;341613
2008;3;341613;10;27;3747;;21802;562993;3426585,35;18,24634558;3;6;793;3479;91903;571383;19,95488043;341613
2009;3;341613;10;27;3747;;21006;575641;3538069,75;19,7859516;3;4;664;2161;49294;283507;13,29840616;341613
2010;3;341613;10;24;3109;;22378;605471;3784933,72;19,56884426;2;2;261;1159;24465;120987;16,24825662;341613
2011;3;341613;9;27;3292;1;24838;659656;4151309,03;19,6789994;3;11;1379;9082;169222;1102531;13,57436735;341613
2012;3;341613;8;26;3212;1;34098;715394;4492298,56;16,20954491;3;11;1379;16391;238155;1562551;11,94359272;341613
2013;3;341613;8;26;3212;1;34736;675595;4258444,87;14,88866366;4;16;2041;23206;389197;2474674;13,29777438;341613
2014;3;341613;7;25;3212;1;35309;749120;4652703,55;16,27464241;5;23;3053;34698;731231;4574087;16,02617293;341613
2015;3;341613;7;25;3177;1;35330;742633;4750649,76;16,30860053;4;18;2391;27770;539449;3559027;14,79011406;341613
2016;3;341613;8;26;3177;1;35266;770874;4923294,44;17,22636937;4;16;2041;23512;443073;2821066;15,14156742;341613
2017;3;341613;8;26;3177;1;34673;738063;4756387,03;16,58359474;5;23;3053;34179;730108;4760426;16,51297173;341613
2018;3;341613;8;26;3177;1;38261;706053;4536313,31;14,48974876;5;23;3053;37249;680318;4426207;14,04452676;341613
1966;2;526029;;33;21056;;;1414330;554072,7517;;;;;;;;;526029
2019;3;341613;8;26;3177;1;38205;735540;4752409,02;15,10900694;5;23;3053;37229;708899;4638125;14,64757541;341613
1967;2;526029;;31;20358;;;1314318;552642,6275;;;;;;;;;526029
2020;3;341613;8;26;3441;1;18245;204468;1287557,85;8,615759574;4;18;2391;15258;152224;987951;7,650758246;341613
1968;2;526029;;29;18724;;;1296604;571132,1016;;;;;;;;;526029
2002;4;139561;15;23;3480;;17458;450759;2261244,75;17,03373008;7;12;1874;10826;279884;1411788;16,97250043;139561
1969;2;526029;;27;17899;;;1071328;541620,4111;;;;;;;;;526029
2003;4;154501;15;23;3551;;17645;421248;2122074,92;15,93606326;7;12;1876;11078;266115;1344378;15,82566229;154501
1970;2;526029;;26;17328;;;1137742;613923,1687;;;;;;;;;526029
2004;4;154501;15;23;3573;;18169;492803;2523046,95;18,28418376;7;12;1898;11430;310824;1622956;17,93533392;154501
1971;2;526029;;25;16728;;;1040276;637884,8004;;;;;;;;;526029
2005;4;161799;15;23;3469;;17978;416895;2114854,86;16,28587066;7;12;1771;11542;267204;1378764;16,55359549;161799
1972;2;533862;;30;17321;;;1113584;767466,0077;;;;;;;;;533862
2006;4;161799;15;25;3901;;18151;453799;2330427,11;16,14826402;8;14;1968;12080;312979;1610836;18,83170606;161799
1973;2;533862;;30;16968;;;1088907;889944,7677;;;;;;;;;533862
2007;4;161799;13;23;3623;;19023;435975;2339779,5;14,86322661;8;17;2547;16850;386415;2064601;14,95044954;161799
1974;2;533862;;31;17071;;;1070818;1056382,202;;;;;;;;;533862
2008;4;161799;13;23;3623;;19887;461323;2508073,94;15,03612336;8;17;2547;17607;410993;2219384;15,22800905;161799
1975;2;533862;;32;17133;;;1116738;1340087,689;;;;;;;;;533862
2009;4;161799;13;23;3623;;20274;472899;2584494,1;15,20174745;7;16;2499;17533;407988;2226816;14,9185871;161799
1976;2;533862;;31;16626;;;979009;1351156,554;;;;;;;;;533862
2010;4;161799;13;23;3623;;20521;484111;2743373,21;15,48468919;6;15;2281;17630;420817;2403527;15,56443389;161799
1977;2;533862;;31;14710;;;856749;1258098,625;;;;;;;;;533862
2011;4;161799;13;23;3623;;20850;502478;2892773,97;15,77279402;6;15;2281;17784;430801;2503475;15,77361185;161799
1978;2;533862;;34;14251;;;1026849;1727589,766;;;;;;;;;533862
2012;4;161799;13;23;3623;;20698;447737;2597588,71;13,9766777;7;16;2499;18636;402446;2358506;14,02146809;161799
1979;2;533970;;37;12675;;;995531;1880199,007;;;;;;;;;533970
2013;4;161799;13;23;3783;;20301;421958;2484494,44;13,13838431;8;17;2707;18169;388229;2282941;13,48240195;161799
1980;2;533970;;34;10385;;;956666;2259854,838;;;;;;;;;533970
2014;4;161799;13;24;4225;;21680;466848;2691666,02;13,27955307;6;15;2460;17962;388884;2246495;13,29126708;161799
1981;2;533970;;32;9472;;;1134795;2962102,394;;;;;;;;;533970
2015;4;161799;13;24;4289;;22304;471284;2741810,2;12,34629157;6;16;2883;19249;406827;2400453;12,08521831;161799
1982;2;533970;;32;9160;;;1197469;3494481,041;;;;;;;;;533970
2016;4;161799;13;24;4177;;23834;510383;3073268,08;12,43679054;7;17;3101;20788;442604;2713829;11,85963634;161799
1983;2;533970;;35;9015;;;1180813;3738249,001;;;;;;;;;533970
2017;4;161799;14;25;4269;;24773;479648;2921625,99;11,08284964;7;17;3081;22166;429704;2670835;10,98186182;161799
1984;2;533970;;35;9005;;;1110105;3741066,716;;;;;;;;;533970
2018;4;161799;14;29;4888;1;27178;495318;3007705,81;9,989353547;7;21;3700;24275;439559;2705648;9,6854278;161799
1985;2;533970;;37;8738;;;974646;3518814,8;;;;;;;;;533970
2019;4;161799;14;29;4888;1;35153;568488;3514416,48;9,776780302;7;21;3700;32237;511402;3208017;9,491459112;161799
1986;2;533970;;36;7700;;;956002;3683435,727;;;;;;;;;533970
2020;4;161799;14;29;4878;1;16972;166964;1022764,1;5,895265505;7;21;3700;15296;143244;893470;5,566881941;161799
1987;2;537259;;38;7977;;;696991,3656;2822621,157;;;;;;;;;537259
2002;5;121419;23;35;6053;;20619;535984;2995213,58;16,09145503;4;5;810;3987;114049;575965;18,83277079;121419
1988;2;537259;;38;7977;;;593763,2944;2491666,108;;;;;;;;;537259
2003;5;130752;22;34;5603;;20312;465671;2625420,12;14,7477322;5;6;969;4560;119209;609094;16,9803473;130752
1989;2;537259;;37;7343;;;568428,0548;2447746,142;;;;;;;;;537259
2004;5;130752;24;36;6085;;20396;518734;3048926,4;17,18952035;4;5;816;4051;123723;646827;19,75698791;130752
1990;2;537259;;37;7531;;;623259,7003;2781929,195;;;;;;;;;537259
2005;5;140916;22;34;4875;;20280;425736;2551040,75;15,09989133;6;7;1068;4783;123789;644855;18,09767472;140916
