annee;numDepartement;nbHabitantsDepartement;nbEtablissements;nbEcrans;nbFauteuils;nbMultiplexes;nbSeances;nbEntrees;recettes;tauxOccupation;nbEtablissementsAE;nbEcransAE;nbFauteuilsAE;nbSeancesAE;nbEntreesAE;recettesAE;tauxOccupationAE;populationDepartement
1978;8;309306;;18;7015;;;617295;1005447,308;;;;;;;;;309306
2019;2B;174553;9;14;2712;;10359;272827;1800343,6;17,03830178;1;2;344;2882;58618;358841;11,78898169;174553
1979;8;302338;;17;6655;;;605845;1085710,954;;;;;;;;;302338
2020;2B;174553;9;14;2712;;4990;65809;422970,72;8,248271609;1;2;344;1475;16326;96996;6,386799207;174553
1980;8;302338;;16;5966;;;527381;1184880,106;;;;;;;;;302338
2002;21;506755;15;55;9316;1;73508;1491361;8267932,51;11,92914348;8;18;2686;20814;393537;1752592;12,63635789;506755
1981;8;302338;;17;6056;;;606613;1531680,43;;;;;;;;;302338
2003;21;517168;14;50;8497;1;72822;1401972;7924947,92;11,22465246;7;13;1874;13289;314371;1388825;16,38928988;517168
1982;8;302338;;17;6056;;;640717;1850236,525;;;;;;;;;302338
2004;21;517168;14;50;8497;1;73706;1658875;9296026,06;13,33648749;7;13;1874;13198;381262;1709202;20,03718785;517168
1983;8;302338;;17;5677;;;573711;1794419,451;;;;;;;;;302338
2005;21;533624;14;50;8522;1;74916;1429182;8063793,55;11,25015497;7;13;1874;14900;295695;1312440;14,15370697;533624
1984;8;302338;;15;4944;;;520293;1716947,147;;;;;;;;;302338
2006;21;533624;14;50;8522;1;75057;1554073;8845865,44;12,02397657;7;13;1874;15582;329249;1514804;14,96031472;533624
1985;8;302338;;15;4944;;;436954;1533643,059;;;;;;;;;302338
2007;21;533624;14;55;8969;2;67133;1405343;8126154,44;12,41062228;7;14;2043;16167;310400;1495893;12,92213953;533624
1986;8;302338;;14;4164;;;417605;1552368,158;;;;;;;;;302338
2008;21;533624;17;58;9450;2;84811;1555109;9106437,67;11,00153968;8;19;2855;26701;430007;2150029;10,6987621;533624
1987;8;296357;;13;3460;;;282712,6008;1097167,079;;;;;;;;;296357
2009;21;533624;17;58;9450;2;82696;1628219;9668548,12;11,92587615;8;19;2855;26067;436868;2246627;11,248943;533624
1988;8;296357;;15;3842;;;266813,244;1074933,001;;;;;;;;;296357
2010;21;533624;16;56;9253;2;83009;1723892;10510516,22;12,68690998;8;19;2855;26720;469421;2513893;11,85816511;533624
1989;8;296357;;14;3417;;;232888,6446;963126,2264;;;;;;;;;296357
2011;21;533624;16;55;9159;2;80777;1743140;10667639,53;12,92077731;8;19;2855;26791;495527;2700244;12,40928941;533624
1990;8;296357;;14;3417;;;256747,8552;1078770,263;;;;;;;;;296357
2012;21;533624;15;51;8666;2;75624;1611159;10011364,56;12,55564246;8;19;2855;24823;440402;2466390;11,85631206;533624
1991;8;296357;;14;3417;;;235213,9705;1038173,21;;;;;;;;;296357
2013;21;533624;16;53;8863;2;78864;1590369;9854284,81;11,9792396;8;19;2855;27488;438429;2444936;10,63824005;533624
1992;8;296357;6;13;2783;;10517;235296;1068412,72;11,04236954;;;;;;;;296357
2014;21;533624;16;53;8863;2;81265;1734893;10556960,98;12,67858171;8;19;2855;28982;478627;2664812;10,9926269;533624
1993;8;296357;6;13;2783;;10653;316336;1476044,66;14,12638077;;;;;;;;296357
2015;21;533624;16;53;8863;2;81336;1717371;10697005,62;12,66320914;10;22;3318;29902;493502;2837026;11,03522515;533624
1994;8;296357;7;15;3247;;12236;297031;1398750,35;11,77718153;;;;;;;;296357
2016;21;533624;16;53;8813;2;80171;1743220;11105548,86;13,14221848;8;15;2104;19636;310646;1485788;10,76851401;533624
1995;8;290130;7;15;3247;;12227;311950;1557549,26;12,18516133;;;;;;;;290130
2017;21;533624;16;53;8863;2;79248;1709177;10947210,31;12,85121288;9;21;3052;29533;516373;3075791;11,91920003;533624
1996;8;290130;7;15;3214;;12137;314585;1612980,14;12,8924263;;;;;;;;290130
2018;21;533624;16;53;8863;2;81175;1631907;10464867,82;12,00269282;10;22;3318;31162;469846;2760188;10,01666936;533624
1997;8;290130;7;15;3214;;12085;337371;1712094,24;13,58315222;;;;;;;;290130
2019;21;533624;16;53;8863;2;75502;1608881;10341767,88;12,68553074;10;17;2486;15901;255160;1270095;10,89980179;533624
1998;8;290130;7;15;3214;;12753;434684;2262595,51;16,41873973;;;;;;;;290130
2020;21;533624;15;47;7929;2;31897;459889;2909915,6;8,514208274;10;18;2572;10095;127585;693463;8,781457109;533624
1999;8;290130;7;15;3214;;13206;345339;1752612,54;12,60906173;;;;;;;;290130
2002;22;542373;21;37;8534;;29647;1049854;5666022,64;16,13348086;13;29;6428;28295;1010037;5444306;16,75701853;542373
2000;8;290130;7;15;3214;;13242;349210;1798380,86;12,84317832;;;;;;;;290130
2003;22;570861;21;37;8534;;29849;960484;5220810,78;14,62435192;14;30;6768;28444;919364;5016665;15,07498599;570861
2001;8;290130;7;15;3214;;13107;389830;2074938,43;14,17390972;;;;;;;;290130
2004;22;570861;22;46;10234;1;30725;1170512;6451664,61;17,65833694;13;29;6536;24665;968401;5266136;18,09315123;570861
2005;22;598357;21;42;8375;1;35110;1044809;5779884,24;15,4033625;13;26;5552;20200;644403;3411934;15,49070994;598357
2006;22;598357;19;42;8167;1;36318;1205540;6787491,24;17,24401321;12;27;5598;21952;735155;3976398;16,65032561;598357
2007;22;598357;20;44;8576;1;39121;1180260;6717071,09;16,10217334;14;29;6034;25112;738193;4024775;15,04259937;598357
2008;22;598357;20;44;8576;1;41372;1259842;7251930,19;16,1437114;13;28;5775;25074;757096;4164462;15,48859503;598357
2009;22;598357;20;44;8576;1;40496;1332085;7807199,54;17,60401399;13;29;5988;25565;774059;4308783;15,51438077;598357
2010;22;598357;20;44;8576;1;39000;1337739;8047729,4;18,53465625;14;30;6184;24617;791945;4521917;16,52802268;598357
2011;22;598357;21;45;8743;1;41618;1468812;8891393,57;18,94041079;14;30;6184;26715;891408;5114369;17,22365451;598357
2012;22;598357;21;45;8743;1;42151;1402157;8522750,89;17,78925844;14;30;6184;27246;840713;4872441;16,08855669;598357
2013;22;598357;21;45;8743;1;42696;1273050;7677435,59;15,76583661;14;30;6184;27432;761495;4359646;14,11875929;598357
2014;22;598357;20;44;8703;1;43285;1427284;8424248,36;17,2595624;15;31;6351;28866;868105;4881550;15,18863118;598357
2015;22;598357;21;45;8885;1;44039;1434583;8590945,27;16,99025636;15;31;6352;28977;856416;4863075;14,87258596;598357
2016;22;598357;21;46;9286;1;44219;1481729;8938152,42;17,49361756;15;31;6351;29388;892667;5115183;15,40728817;598357
2017;22;598357;19;44;8998;1;47351;1503555;9199765,01;16,28772241;16;32;6459;33280;937054;5486333;14,48140622;598357
2018;22;598357;19;44;8904;1;47868;1414568;8638586,88;15,22171686;15;31;6223;33143;866072;5053453;13,36349178;598357
2019;22;598357;19;44;8904;1;48223;1528245;9490829,77;16,27105662;16;32;6365;33939;936172;5563435;14,05855966;598357
2020;22;598357;19;45;8990;1;24035;492469;3024951,38;10,46773418;15;32;5851;16441;311398;1843594;10,25979118;598357
2002;23;124470;7;12;2326;;6354;180382;795676,27;14,60574717;7;12;2326;6380;181396;798128;14,68785197;124470
2003;23;123401;7;12;2326;;6284;153049;678127,45;12,50360487;6;11;2222;6149;151156;671288;12,49438953;123401
2004;23;123401;7;12;2326;;6865;188651;829067,95;14,23046518;6;11;2222;6637;182834;805405;13,94482902;123401
1966;9;138478;;19;7121;;;341527;130866,2001;;;;;;;;;138478
2005;23;120365;7;12;1962;;6912;163976;700755,35;15,41781338;5;10;1846;6019;137993;612467;13,27426307;120365
1967;9;138478;;19;7202;;;288527;123294,0574;;;;;;;;;138478
2006;23;120365;7;12;1962;;7171;193821;836869,59;17,34572879;6;11;1858;7100;194965;844572;17,70183487;120365
1968;9;138478;;18;6802;;;306616;136833,512;;;;;;;;;138478
2007;23;120365;7;12;1962;;6093;164775;717054,91;17,33037999;6;11;1858;5945;161978;706956;17,32038619;120365
1969;9;138478;;12;5375;;;263486;142072,1175;;;;;;;;;138478
2008;23;120365;7;12;1962;;7172;184551;857768,6;16,40691051;6;11;1858;7023;181856;847938;16,39315594;120365
1970;9;138478;;11;4625;;;228631;130381,5646;;;;;;;;;138478
2009;23;120365;7;12;1962;;7134;174187;827250,22;15,53988168;6;11;1858;6952;170623;811113;15,42950364;120365
1971;9;138478;;11;4625;;;226836;139689,7967;;;;;;;;;138478
2010;23;120365;7;12;1962;;7287;174328;849584,6;15,19204877;6;11;1858;7128;171872;840367;15,16354862;120365
1972;9;137857;;11;4482;;;229586;151927,0318;;;;;;;;;137857
2011;23;120365;7;12;1962;;7259;191538;967102,23;16,88347863;6;11;1858;7088;187571;950355;16,76120878;120365
1973;9;137857;;11;4482;;;221327;160594,0633;;;;;;;;;137857
2012;23;120365;7;12;1962;;7443;167000;873508,78;14,25367096;6;11;1858;7380;168609;884566;14,58782509;120365
1974;9;137857;;11;4652;;;218749;183005,5934;;;;;;;;;137857
2013;23;120365;7;12;1962;;7622;147335;777646,97;12,03087272;6;11;1858;7468;145537;770457;12,03842715;120365
1975;9;137857;;10;4312;;;262240;251125,3024;;;;;;;;;137857
2014;23;120365;7;12;1962;;8199;167584;873717,61;13,86185459;6;11;1858;8050;165443;864668;13,85882085;120365
1976;9;137857;;10;4029;;;229962;250641,7341;;;;;;;;;137857
2015;23;120365;7;12;2150;;8694;175311;912724,37;12,38374631;6;11;2046;8505;171825;896087;12,2627209;120365
1977;9;137857;;9;3582;;;220475;270839,0946;;;;;;;;;137857
2016;23;120365;7;12;1950;;9552;199446;1026748,88;13,39463626;5;10;1436;8802;183515;956136;14,6313714;120365
1978;9;137857;;9;3590;;;239370;319287,6972;;;;;;;;;137857
2017;23;120365;7;12;2150;;10062;194085;993989,92;11,18522399;6;11;2046;10033;196118;1007521;11,4021629;120365
1979;9;135725;;10;3670;;;236465;346366,3014;;;;;;;;;135725
2018;23;120365;7;12;2150;;10436;189946;974082,29;10,50791443;6;11;2046;10273;187482;963936;10,46857367;120365
1980;9;135725;;10;3449;;;179789;340813,6509;;;;;;;;;135725
2019;23;120365;7;12;2150;;10993;200368;1039965,31;10,59518603;6;11;2046;10850;198376;1031668;10,57417127;120365
1981;9;135725;;11;3760;;;257723;552228,2711;;;;;;;;;135725
2020;23;120365;7;12;2150;;5077;56841;296148,79;6,412893254;6;11;2046;4993;56146;293007;6,398295186;120365
1982;9;135725;;10;3448;;;315561;746890,2687;;;;;;;;;135725
2002;24;388293;14;29;5338;;25204;697866;3578394,9;16,19450692;11;26;4722;24119;660232;3412880;16,26213628;388293
1983;9;135725;;12;3738;;;305510;771705,9197;;;;;;;;;135725
2003;24;404052;15;30;5479;;25384;634369;3362197,81;14,63492566;10;25;4526;23727;580658;3134511;14,53664503;404052
1984;9;135725;;11;3711;;;291056;761021,2255;;;;;;;;;135725
2004;24;404052;15;30;5469;;27324;733148;3852228,1;15,99539216;13;28;5142;26209;692085;3665300;15,50483548;404052
1985;9;135725;;10;3631;;;246164;695698,8034;;;;;;;;;135725
2005;24;415417;15;33;6021;1;29020;644820;3430122,66;11,85156377;13;31;5785;28527;626431;3345255;11,62260321;415417
1986;9;135725;;10;3309;;;229348;731265,9566;;;;;;;;;135725
2006;24;415417;15;33;6021;1;36027;839966;4702515,11;13,06323484;13;22;3971;17657;481625;2441688;15,97996636;415417
1987;9;136455;;10;3309;;;162321,8772;580312,6828;;;;;;;;;136455
2007;24;415417;15;33;6021;1;35287;788989;4478578,17;12,56225288;14;32;5835;35021;783532;4454790;12,57742586;415417
1988;9;136455;;9;3129;;;100387,038;382410,8548;;;;;;;;;136455
2008;24;415417;15;33;6021;1;35925;791489;4583398,47;12,3374097;14;32;5835;35683;786010;4558872;12,33857627;415417
1989;9;136455;;5;2119;;;90285,00587;366778,3633;;;;;;;;;136455
2009;24;415417;16;34;6230;1;34667;815546;4890809,31;13,15447695;14;32;5835;34292;803508;4819784;13,03814044;415417
1990;9;136455;;8;2641;;;101242,3123;414598,1838;;;;;;;;;136455
2010;24;415417;15;33;6021;1;33603;826393;5069035,66;13,90211242;14;32;5835;33292;819133;5037919;13,86719517;415417
1991;9;136455;;8;2641;;;106963,7867;450295,5466;;;;;;;;;136455
2011;24;415417;15;33;6021;1;35909;906833;5631317,58;14,18465154;14;32;5835;35613;894744;5567534;14,07252807;415417
1992;9;136455;9;9;2680;;2836;95877;419594,17;10,1125942;;;;;;;;136455
2012;24;415417;15;33;6021;1;35981;834713;5192008,83;12,85381907;14;32;5835;36206;846147;5274829;13,10911754;415417
1993;9;136455;9;9;2680;;3289;133111;586341,98;11,9471747;;;;;;;;136455
2013;24;415417;15;33;6021;1;35028;745953;4620163,62;11,7843387;14;32;5835;34781;740340;4594171;11,77733684;415417
1994;9;136455;10;10;2869;;3901;115329;496431,65;8,645391209;;;;;;;;136455
2014;24;415417;15;35;6161;1;36035;808874;4876809,93;12,704633;14;34;5975;35763;804188;4855917;12,72808251;415417
1995;9;137205;10;10;2896;;4038;153258;681650,77;11,53122976;;;;;;;;137205
2015;24;415417;15;37;6408;2;42365;861973;5368524,56;11,95380362;14;36;6222;41835;849405;5295054;11,86613171;415417
1996;9;137205;9;9;2676;;4318;146460;654500,54;10,40119082;;;;;;;;137205
2016;24;415417;16;38;6313;2;46229;910986;5662522,87;12,1491836;14;36;6009;45266;890198;5546776;12,0365196;415417
1997;9;137205;9;9;2490;;4771;160015;733766,49;12,76178141;;;;;;;;137205
2017;24;415417;16;38;6526;2;47681;912136;5670404,11;11,52690816;14;36;6222;47470;919266;5743382;11,79152359;415417
1998;9;137205;9;10;2534;;4911;190778;890405,26;15,68558774;;;;;;;;137205
2018;24;415417;16;39;6589;2;51384;895518;5513670,82;10,54117207;14;37;6175;49684;865063;5369136;10,64603693;415417
1999;9;137205;10;11;2676;;5184;153052;698236,65;12,29290876;;;;;;;;137205
2019;24;415417;16;39;6592;2;52512;963271;6086667,71;11,13059798;15;38;6406;52158;957841;6062108;11,15584803;415417
2000;9;137205;10;11;2653;;5530;172373;792968,47;13,92380932;;;;;;;;137205
2020;24;415417;16;39;6530;2;24872;295441;1811613,14;7,127137091;15;38;6344;24732;293408;1802002;7,12476819;415417
2001;9;137205;10;11;2839;;5453;198567;920429,91;14,09276082;;;;;;;;137205
2002;25;499062;20;51;9196;1;56191;1488738;7667680,77;15,82996077;6;14;2909;14466;429871;2089225;15,46737545;499062
2003;25;516157;20;53;9716;2;56773;1319437;7090697;13,08372746;6;11;2018;9846;246505;1210660;15,34732184;516157
2004;25;516157;19;49;9301;2;57568;1535818;8604034,92;15,77021471;6;14;2909;14845;346582;1765930;12,11615472;516157
2005;25;536959;19;55;10004;3;65118;1437499;7982405,28;13,49906028;8;16;3038;15223;271580;1325090;9,972441574;536959
2006;25;536959;17;50;8891;3;68064;1667336;9111719,12;14,75645516;8;16;3038;16035;324042;1530535;11,47977837;536959
2007;25;536959;17;50;8891;3;66112;1617328;8636871,3;14,63242427;10;27;5159;33100;733564;3583816;12,06865917;536959
2008;25;536959;17;51;9015;3;70638;1725569;9625647,07;14,54912255;10;27;5159;34535;779068;4034689;12,13167464;536959
2009;25;536959;17;51;9015;3;70965;1777650;10108276,23;15,11682598;9;26;5244;33889;769164;3973645;12,18599435;536959
2010;25;536959;17;51;9015;3;67728;1757884;10558308,74;15,64561884;9;26;5244;33443;782840;4260842;12,61975907;536959
2011;25;536959;17;51;9015;3;70170;1841027;10966000,62;15,88302912;9;26;5244;34070;829832;4524494;13,20800064;536959
2012;25;536959;17;51;9015;3;68931;1681418;10025094,73;14,71925214;9;17;3464;17031;345852;1655750;11,30795888;536959
2013;25;536959;17;53;9344;3;68171;1568823;9413363,46;13,80823106;10;21;4005;18714;359366;1807729;10,98160178;536959
2014;25;536959;17;53;9344;3;73329;1801029;10653786,17;14,67449185;10;21;4005;22533;492028;2570828;12,47991469;536959
2015;25;536959;17;56;10095;3;75983;1790774;10701694,39;14,07828688;10;21;4214;21597;474996;2531915;12,27250143;536959
2016;25;536959;17;56;9871;3;80593;1870867;11219131,61;13,97661563;11;22;4231;22604;561134;2962507;14,04845334;536959
2017;25;536959;17;56;10095;3;79770;1757727;10677736,84;13,07062745;10;20;4243;21507;513329;2738610;12,98923217;536959
2018;25;536959;17;57;10105;3;79760;1647141;10010715,42;12,27017004;10;16;3491;14921;282262;1331586;9,975568407;536959
2019;25;536959;17;57;10105;3;78593;1697360;10698453,15;12,91488446;10;16;3491;14519;269577;1273374;9,661825187;536959
2020;25;536959;17;57;10105;3;42881;522101;3231582,04;7,211897605;11;22;4455;11361;177956;944215;8,519157525;536959
2002;26;437778;21;59;9763;1;59009;1387314;7454876,83;14,23073416;11;18;3276;14596;357386;1582876;15,48299165;437778
1966;10;270325;;19;9814;;;936386;436654,2319;;;;;;;;;270325
2003;26;468608;22;63;10189;1;63260;1336069;7428041,45;13,25856721;10;17;2799;13406;316364;1422800;15,27393619;468608
1967;10;270325;;18;9321;;;818856;422008,7597;;;;;;;;;270325
2004;26;468608;23;64;10144;1;65532;1541501;8745582,07;15,29052676;13;23;3862;17667;427051;1979154;16,67355784;468608
1968;10;270325;;17;9074;;;783345;417622,3441;;;;;;;;;270325
2005;26;504637;22;63;9633;1;61598;1365659;7834323,8;15,01838507;14;25;3637;16976;393176;1846581;16,229405;504637
1969;10;270325;;16;8563;;;642008;379326,6937;;;;;;;;;270325
2006;26;504637;21;60;9729;1;55636;1433693;8353790,37;16,57101617;12;20;3174;12681;382301;1802604;18,90535184;504637
1970;10;270325;;14;7404;;;650027;417077,6438;;;;;;;;;270325
2007;26;504637;21;60;9729;1;55270;1372641;8128733,32;16,01238817;13;26;3977;20177;447020;2183040;14,82506378;504637
1971;10;270325;;16;7374;;;581475;401505,1291;;;;;;;;;270325
2008;26;504637;21;59;8944;1;55389;1409633;8492986,55;16,08222048;14;27;4101;17717;440316;2157568;15,79896892;504637
1972;10;284823;;17;6860;;;640424;556133,4051;;;;;;;;;284823
2009;26;504637;21;58;8880;1;59645;1528027;9404888,65;16,57707825;14;26;4037;21086;470815;2357627;14,33985033;504637
1973;10;284823;;16;6450;;;641970;661895,3681;;;;;;;;;284823
2010;26;504637;21;59;9315;1;58873;1679082;10729233,81;18,42425958;14;26;4037;21744;495002;2525336;14,69311694;504637
1974;10;284823;;15;6250;;;634888;752955,148;;;;;;;;;284823
2011;26;504637;21;59;9315;1;61088;1734401;10899336,82;18,40845498;14;26;4037;21966;526345;2743424;15,5196348;504637
1975;10;284823;;12;4601;;;650021;862677,8889;;;;;;;;;284823
2012;26;504637;21;58;8880;1;62106;1572078;9945700,99;16,31251823;15;27;4269;22355;501992;2613872;14,48085036;504637
1976;10;284823;;12;4596;;;592536;903354,9455;;;;;;;;;284823
2013;26;504637;21;58;8880;1;62667;1529214;9888592,05;15,77460796;15;27;4269;23055;514779;2665739;14,30147052;504637
1977;10;284823;;12;4596;;;560792;934660,8086;;;;;;;;;284823
2014;26;504637;21;58;8880;1;63135;1615971;10476553,77;16,65370554;16;28;4386;23709;545325;2825649;15,00662512;504637
1978;10;284823;;12;4004;;;623925;1145054,173;;;;;;;;;284823
2015;26;504637;21;61;9327;2;65914;1624112;10586928,09;16,02953969;16;28;4527;25027;543536;2810034;14,00920861;504637
1979;10;289300;;12;4004;;;626008;1235204,137;;;;;;;;;289300
2016;26;504637;21;61;9077;2;73274;1720646;11137497,02;15,59306858;16;28;4297;27623;621320;3249604;14,72998039;504637
1980;10;289300;;13;4746;;;579109;1438434,074;;;;;;;;;289300
2017;26;504637;21;61;9292;2;74509;1648791;10736828,75;14,35567833;15;27;4333;27409;583358;3048325;13,85434553;504637
1981;10;289300;;13;4746;;;632281;1796773,264;;;;;;;;;289300
2018;26;504637;21;61;9147;2;76803;1646634;10763445,67;14,01527809;15;27;4336;26831;571624;3008990;13,78693899;504637
1982;10;289300;;13;4751;;;634379;2054164,069;;;;;;;;;289300
2019;26;504637;21;61;9122;2;77841;1735370;11709569,75;14,54908826;16;28;4470;28753;655260;3503453;14,81078647;504637
1983;10;289300;;13;4751;;;597782;2091920,202;;;;;;;;;289300
2020;26;504637;21;61;9122;2;36698;504864;3286120,8;9,023057889;16;28;4470;13924;217629;1159149;10,09679757;504637
1984;10;289300;;15;4597;;;602685;2172392,855;;;;;;;;;289300
2002;27;541054;12;32;6535;1;35007;1016120;5498046,87;14,82898263;7;18;3444;18062;385641;1941373;11,71804923;541054
1985;10;289300;;17;4416;;;558242;2099603,023;;;;;;;;;289300
2003;27;567221;12;31;6315;1;34942;977111;5384887,24;14,26315733;8;27;5243;32750;905044;5046069;14,42673186;567221
1986;10;289300;;16;4316;;;578943;2299469,321;;;;;;;;;289300
2004;27;567221;12;32;6628;1;39381;1141141;6364698,79;15,12746997;7;26;5314;36001;1040592;5883212;15,02804023;567221
1987;10;289207;;17;4570;;;404415,772;1674070,601;;;;;;;;;289207
2005;27;601948;12;32;6637;1;33546;1002731;5713030,32;14,97135643;7;26;5298;31104;930891;5359899;15,05654143;601948
1988;10;289207;;14;3237;;;405790,9205;1700386,239;;;;;;;;;289207
2006;27;601948;12;32;6637;1;32064;1149991;6503537,59;17,05467594;7;26;5298;29408;1084407;6235092;17,91779217;601948
1989;10;289207;;14;3237;;;401013,518;1723777,009;;;;;;;;;289207
2007;27;601948;12;34;6972;1;33555;1035501;5934828,05;14,64722569;7;28;5633;29912;943334;5520937;15,109994;601948
1990;10;289207;;14;3237;;;441164,1525;1932204,715;;;;;;;;;289207
2008;27;601948;13;35;7172;1;35305;1101948;6446613,45;15,42650561;8;30;5875;32669;1009252;6006226;15,71766963;601948
1991;10;289207;;15;2990;;;424874,8046;1904386,017;;;;;;;;;289207
2009;27;601948;13;35;7172;1;35972;1063672;6456677,03;14,74450116;8;30;5875;33101;974197;6016877;15,06481742;601948
1992;10;289207;6;16;3044;;12333;425216;1978043,66;17,58459892;;;;;;;;289207
2010;27;601948;12;34;6972;1;37071;1059111;6599794,77;14,26585425;8;26;5183;30308;899146;5749561;14,9315998;601948
1993;10;289207;6;16;3044;;12627;495711;2422786,3;19,83607292;;;;;;;;289207
2011;27;601948;11;33;6716;1;40865;1167006;7298442,15;14,29408877;10;28;5756;34983;1046303;6583914;14,72281838;601948
1994;10;289207;6;16;3044;;12923;447047;2341833,66;17,89268002;;;;;;;;289207
2012;27;601948;11;33;6716;1;40842;1047390;6597083,74;12,80288262;10;28;5756;35479;965772;6148473;13,55920305;601948
1995;10;292131;6;16;3044;;12947;490178;2494139,57;19,60087908;;;;;;;;292131
2013;27;601948;11;33;6716;1;37993;942562;5807900,67;12,3268099;9;24;4920;29339;760676;4753824;12,74784677;601948
1996;10;292131;6;16;3029;;12870;468358;2479876,58;18,87709122;;;;;;;;292131
2014;27;601948;11;33;6716;1;38715;1051100;6550806,26;13,4626237;8;21;4331;27902;777528;4969364;13,65669585;601948
1997;10;292131;6;16;3029;;13271;492917;2618089,56;19,4029651;;;;;;;;292131
2015;27;601948;11;33;7095;1;37954;1016877;6478096,71;12,27792025;8;21;4794;25603;746685;4870194;12,42171187;601948
1998;10;292131;6;16;3029;;12608;544550;3001069,19;23,01864445;;;;;;;;292131
2016;27;601948;11;34;6750;1;38819;1033898;6688025,61;13,65709928;6;18;3653;23562;695177;4703402;14,72766789;601948
1999;10;292131;6;16;3029;;12724;422523;2288658,44;17,9904045;;;;;;;;292131
2017;27;601948;11;34;7129;1;41421;1036957;6801865,82;11,62031701;7;19;4239;27277;721358;4885117;11,68923871;601948
2000;10;292131;5;19;4125;1;13127;426175;2332639,11;16,18951274;;;;;;;;292131
2018;27;601948;11;34;7129;1;43695;982599;6479598,51;10,39379359;5;17;3566;26502;608548;4219169;10,34869723;601948
2001;10;292131;5;19;4077;1;20677;586653;3397998,79;12,7978124;;;;;;;;292131
2019;27;601948;11;34;6982;1;44574;1035101;6928093,46;10,98537008;5;15;3280;24101;597584;4257825;10,87039526;601948
2020;27;601948;11;34;6982;1;21533;312731;2036998,67;6,86243251;6;18;3687;13007;209796;1416610;7,504579562;601948
2002;28;407665;9;19;4346;;18187;490138;2777275,63;13,79506197;4;8;1796;6204;164248;830072;11,67586411;407665
2003;28;421114;9;19;4346;;18224;443868;2532496,91;12,47427119;4;8;1796;6397;153411;786230;10,5093519;421114
2004;28;421114;10;19;4169;;18597;488639;2776094,18;14,95573474;4;5;1197;3811;92386;434760;12,23148549;421114
2005;28;434035;10;19;3709;;17176;401210;2306953,67;13,26771073;6;12;2048;11367;217674;1140818;10,68458213;434035
2006;28;434035;9;17;3434;;19974;485930;2819796,61;13,65657808;4;9;1661;11692;270021;1448519;12,57303434;434035
2007;28;434035;9;17;3434;;17792;453315;2621907,23;14,27576733;5;10;1773;11695;258176;1385277;12,14521229;434035
2008;28;434035;10;32;6135;2;23940;644840;4102641,5;13,41521209;5;15;2594;12764;288899;1617741;11,12590805;434035
2009;28;434035;8;27;5356;2;32956;820012;5372141,1;13,80539925;4;15;2818;18133;532839;3564533;15,53980237;434035
2010;28;434035;8;29;5617;2;33508;863353;5802982,31;14,5220181;5;26;4623;33120;843689;5725620;14,39785809;434035
2011;28;434035;8;29;5617;2;35329;986688;6665277,42;15,96109115;5;26;4623;34950;962935;6549202;15,78207596;434035
2012;28;434035;8;29;5617;2;35044;930345;6357091,38;14,99631034;4;25;4317;34180;909288;6302776;15,63704651;434035
2013;28;434035;8;29;5617;2;35189;885721;5931677,82;14,21355126;5;26;4623;34895;871863;5877837;14,17900654;434035
2014;28;434035;7;28;5417;2;34857;995340;6433979,35;16,12906624;5;26;4623;34580;983311;6388248;16,15506255;434035
2015;28;434035;7;28;5417;2;36502;1000265;6718019,34;15,54467233;5;26;4623;35867;971830;6578538;15,5085731;434035
2016;28;434035;7;28;5417;2;37524;1044781;6993740,71;15,89417464;5;26;4623;36853;1009897;6816785;15,76344861;434035
2017;28;434035;7;29;5578;2;36987;1043582;7013408,79;16,07396121;4;26;4478;35985;1010905;6922814;16,80423274;434035
2018;28;434035;7;29;5562;2;39045;980801;6583218,54;14,30960598;4;26;4462;37580;926607;6336843;14,5548566;434035
2019;28;434035;7;29;5562;2;39719;1046566;7139014,83;15,06386373;5;27;4768;39303;1016966;7020121;15,00888683;434035
1966;11;278323;;105;32989;;;1405364;457116,5488;;;;;;;;;278323
2020;28;434035;7;29;5562;2;19345;297896;2023659,85;8,709128453;5;27;4768;19103;287082;1980048;8,647306049;434035
1967;11;278323;;102;31866;;;1176595;420294,1656;;;;;;;;;278323
2002;29;852418;35;68;15848;1;60992;1803339;9332996,2;14,30127154;20;31;7534;24510;702832;3428864;13,83293652;852418
1968;11;278323;;89;29877;;;1151991;438417,4572;;;;;;;;;278323
2003;29;883001;35;68;15738;1;62538;1676116;8859602,12;12,85263215;22;33;8265;25515;692685;3388465;12,4589011;883001
1969;11;278323;;84;28656;;;1017264;468109,7999;;;;;;;;;278323
2004;29;883001;36;69;15604;1;66275;1982185;10548160,11;14,94376444;24;35;8513;26873;852520;4241105;15,05216756;883001
1970;11;278323;;84;28311;;;937987;474766,9436;;;;;;;;;278323
2005;29;907796;37;84;16163;2;80812;1855766;9931650,81;12,79661851;23;34;6681;27615;738340;3662452;15,72400175;907796
1971;11;278323;;79;25979;;;893233;514657,5157;;;;;;;;;278323
2006;29;907796;36;77;15323;2;85261;2170811;11708036,36;13,85489503;25;37;7331;30109;890449;4446859;17,16702262;907796
1972;11;272366;;75;25183;;;904414;597779,2752;;;;;;;;;272366
2007;29;907796;37;78;15341;2;84284;2048535;11367110,25;13,27540556;26;38;7566;30257;852339;4263806;15,88487746;907796
1973;11;272366;;73;24365;;;856094;656192,4029;;;;;;;;;272366
